,Service Request (SR) Number,SR Description,Method Received,SR Status,Status Change Date,Created Date,Last Update Date,Close Date,SR Location,Street Number,Street Name,City,Zip Code,County,State Plane X Coordinate,State Plane Y Coordinate,Latitude Coordinate,Longitude Coordinate,(Latitude.Longitude),Council District,Map Page,Map Tile
80790,17-00217996,Coyote Complaints,Phone,Closed,08/01/2017 03:48:32 PM,07/29/2017 04:20:25 PM,08/01/2017 03:48:32 PM,08/01/2017 03:48:32 PM,"W SLAUGHTER LN & MANCHACA RD, AUSTIN, TX 78748",,W SLAUGHTER LN & MANCHACA RD,AUSTIN,78748.0,TRAVIS,3089546.40000001,10035869.64,30.17373616,-97.82373159,"(30.17373616, -97.82373159)",5.0,673N,ME14
81499,17-00218219,Coyote Complaints,Phone,Closed,08/01/2017 02:03:39 PM,07/29/2017 08:29:11 PM,08/01/2017 02:03:39 PM,08/01/2017 02:03:39 PM,"6619 MESA HOLLOW DR, AUSTIN, TX 78750",6619.0,MESA HOLLOW,AUSTIN,78750.0,TRAVIS,3098557.25069738,10110750.9981477,30.37901345,-97.78980578,"(30.37901345, -97.78980578)",10.0,494S,MG31
83586,18-00001177,Coyote Complaints,Phone,Closed,01/02/2018 05:10:38 PM,01/02/2018 11:59:35 AM,01/02/2018 05:10:38 PM,01/02/2018 05:10:38 PM,"8605 SWANSON LN, AUSTIN, TX 78748",8605.0,SWANSON,AUSTIN,78748.0,TRAVIS,3098813.00300539,10036737.0029802,30.1755423,-97.79435176,"(30.1755423, -97.79435176)",2.0,673M,MF14
85381,17-00233467,Coyote Complaints,Phone,New,08/13/2017 11:06:57 AM,08/13/2017 11:06:57 AM,08/13/2017 11:06:58 AM,,"9100 MOUNTAIN RIDGE DR, AUSTIN, TX 78759",9100.0,MOUNTAIN RIDGE,AUSTIN,78759.0,TRAVIS,3109902.04839922,10114038.0892926,30.387331,-97.75359589,"(30.387331, -97.75359589)",10.0,494M,MH32
104313,14-00102694,Coyote Complaints,Phone,Closed,06/02/2014 03:07:09 PM,05/29/2014 07:01:21 AM,06/02/2014 03:07:10 PM,06/02/2014 03:07:09 PM,"GARNER AVE & JULIET ST, AUSTIN, TX",,GARNER AVE & JULIET ST,AUSTIN,78704.0,TRAVIS,3107202.75,10067719.0,30.26017787,-97.76554536,"(30.26017787, -97.76554536)",5.0,614C,MH21
104544,14-00101605,Coyote Complaints,Phone,Closed,05/28/2014 09:36:14 AM,05/27/2014 04:37:12 PM,05/28/2014 09:36:15 AM,05/28/2014 09:36:14 AM,"1306 CLOVERLEAF DR, AUSTIN, TX",1306.0,CLOVERLEAF,AUSTIN,78723.0,TRAVIS,3126924.00795702,10087053.3929791,30.31205793,-97.701649,"(30.31205793, -97.701649)",4.0,556N,ML26
104545,14-00101314,Coyote Complaints,Phone,Closed,05/28/2014 09:35:46 AM,05/27/2014 10:48:54 AM,05/28/2014 09:35:46 AM,05/28/2014 09:35:46 AM,"8110 FM 2222 RD 33, AUSTIN, TX",8110.0,2222,AUSTIN,78730.0,TRAVIS,3092971.86600535,10110915.807714699,30.37981639,-97.80750232,"(30.37981639, -97.80750232)",10.0,493Q,MF32
104943,14-00099169,Coyote Complaints,Phone,Closed,05/26/2014 01:44:47 PM,05/23/2014 05:57:44 PM,05/26/2014 01:44:47 PM,05/26/2014 01:44:47 PM,"2200 GRISWOLD LN, AUSTIN, TX",2200.0,GRISWOLD,AUSTIN,78703.0,TRAVIS,3107156.9505156004,10079026.4103371,30.29126326,-97.76486352,"(30.29126326, -97.76486352)",10.0,584C,MH24
104948,14-00101019,Coyote Complaints,Phone,Closed,05/27/2014 09:15:34 AM,05/26/2014 09:07:38 PM,05/27/2014 09:15:34 AM,05/27/2014 09:15:34 AM,"14400 HARRIS RIDGE BLVD, AUSTIN, TX",14400.0,HARRIS RIDGE,AUSTIN,78660.0,TRAVIS,3143933.87147669,10126790.6121581,30.420170000000002,-97.64471528,"(30.42017, -97.64471528)",,467L,MP35
104949,14-00100998,Coyote Complaints,Phone,Closed,05/27/2014 09:14:46 AM,05/26/2014 08:36:19 PM,05/27/2014 09:14:46 AM,05/27/2014 09:14:46 AM,"1100 LOST CREEK BLVD, AUSTIN, TX",1100.0,LOST CREEK,AUSTIN,78746.0,TRAVIS,3088337.75121574,10075813.9711407,30.28361339,-97.82470509,"(30.28361339, -97.82470509)",8.0,583J,ME23
105080,14-00100353,Coyote Complaints,Phone,Closed,05/26/2014 01:48:17 PM,05/25/2014 08:39:47 PM,05/26/2014 01:48:17 PM,05/26/2014 01:48:17 PM,"1305 SAWGRASS CV, AUSTIN, TX",1305.0,SAWGRASS,AUSTIN,78746.0,TRAVIS,3085946.25,10075755.916669698,30.28360185,-97.832284,"(30.28360185, -97.832284)",,583J,ME23
105130,14-00100084,Coyote Complaints,Phone,Closed,05/26/2014 01:47:46 PM,05/25/2014 11:44:28 AM,05/26/2014 01:47:47 PM,05/26/2014 01:47:46 PM,"8110 FM 2222 RD 36 33, AUSTIN, TX",8110.0,2222,AUSTIN,78730.0,TRAVIS,3092971.86600535,10110915.807714699,30.37981639,-97.80750232,"(30.37981639, -97.80750232)",10.0,493Q,MF32
105131,14-00099188,Coyote Complaints,Phone,Closed,05/26/2014 01:46:57 PM,05/23/2014 06:34:11 PM,05/26/2014 01:46:58 PM,05/26/2014 01:46:57 PM,"6209 LEDGE MOUNTAIN DR, AUSTIN, TX",6209.0,LEDGE MOUNTAIN,AUSTIN,78731.0,TRAVIS,3103212.91238559,10100643.219618302,30.35093488,-97.77578206,"(30.35093488, -97.77578206)",10.0,524K,MG29
105132,14-00099174,Coyote Complaints,Phone,Duplicate (closed),05/26/2014 01:44:47 PM,05/23/2014 06:05:02 PM,05/26/2014 01:44:47 PM,05/26/2014 01:44:47 PM,"2203 GRISWOLD LN, AUSTIN, TX",2203.0,GRISWOLD,AUSTIN,78703.0,TRAVIS,3107129.40591663,10078995.833936699,30.29118095,-97.76495301,"(30.29118095, -97.76495301)",10.0,584G,MH24
105134,14-00099152,Coyote Complaints,Phone,Closed,05/26/2014 01:44:15 PM,05/23/2014 05:38:40 PM,05/26/2014 01:44:17 PM,05/26/2014 01:44:15 PM,"ENFIELD TO MOPAC NB RAMP, AUSTIN, TX",,ENFIELD TO MOPAC NB,AUSTIN,78703.0,TRAVIS,3107828.80117662,10077456.3616965,30.28690474,-97.76285032,"(30.28690474, -97.76285032)",9.0,584G,MH24
105365,14-00098617,Coyote Complaints,Phone,Closed,05/24/2014 04:58:25 PM,05/23/2014 07:31:34 AM,05/24/2014 04:58:25 PM,05/24/2014 04:58:25 PM,"4100 WESTBANK DR, WEST LAKE HILLS, TX",4100.0,WESTBANK,WEST LAKE HILLS,78746.0,TRAVIS,3091251.13,10073219.6,30.27630078,-97.81566338,"(30.27630078, -97.81566338)",,583P,ME23
105366,14-00097697,Coyote Complaints,Phone,Closed,05/24/2014 04:58:03 PM,05/21/2014 11:06:19 PM,05/24/2014 04:58:03 PM,05/24/2014 04:58:03 PM,"1804 TREADWELL ST, AUSTIN, TX",1804.0,TREADWELL,AUSTIN,78704.0,TRAVIS,3106830.36923279,10067236.322203599,30.25887469,-97.7667598,"(30.25887469, -97.7667598)",5.0,614C,MH21
105367,14-00097625,Coyote Complaints,Phone,Closed,05/24/2014 04:57:40 PM,05/21/2014 08:16:46 PM,05/24/2014 04:57:41 PM,05/24/2014 04:57:40 PM,"1806 KERR ST, AUSTIN, TX",1806.0,KERR,AUSTIN,78704.0,TRAVIS,3106877.27324321,10067566.77075,30.25978007,-97.76658713,"(30.25978007, -97.76658713)",5.0,614C,MH21
106426,14-00042389,Coyote Complaints,Phone,Closed,05/21/2014 03:29:35 PM,03/11/2014 10:35:28 PM,05/21/2014 03:29:36 PM,05/21/2014 03:29:35 PM,"4109 FIRSTVIEW DR, AUSTIN, TX",4109.0,FIRSTVIEW,AUSTIN,78731.0,TRAVIS,3104998.66519364,10099877.263064802,30.34871636,-97.77017799,"(30.34871636, -97.77017799)",10.0,524Q,MH29
106581,14-00043326,Coyote Complaints,Phone,Closed,05/21/2014 03:30:51 PM,03/13/2014 10:31:51 AM,05/21/2014 03:30:52 PM,05/21/2014 03:30:51 PM,"9206 AMBERWOOD CV, AUSTIN, TX",9206.0,AMBERWOOD,AUSTIN,78759.0,TRAVIS,3108146.79094705,10115690.2591615,30.3919844,-97.75904009,"(30.3919844, -97.75904009)",10.0,494H,MH33
106587,14-00040884,Coyote Complaints,Phone,Closed,05/21/2014 03:16:22 PM,03/10/2014 08:06:36 AM,05/21/2014 03:16:22 PM,05/21/2014 03:16:22 PM,"4000 ENCLAVE MESA CIR, AUSTIN, TX",4000.0,ENCLAVE MESA,AUSTIN,78731.0,TRAVIS,3106833.5,10104921.0,30.36246457,-97.76399325,"(30.36246457, -97.76399325)",10.0,524C,MH30
106588,14-00061207,Coyote Complaints,Phone,Closed,05/21/2014 03:15:49 PM,04/06/2014 07:16:45 PM,05/21/2014 03:15:50 PM,05/21/2014 03:15:49 PM,"4814 CANYONBEND CIR, AUSTIN, TX",4814.0,CANYONBEND,AUSTIN,78735.0,TRAVIS,3088499.1263653,10060716.0750389,30.24210092,-97.82527231,"(30.24210092, -97.82527231)",8.0,613N,ME20
106738,14-00096075,Coyote Complaints,Phone,Closed,05/21/2014 09:11:49 AM,05/19/2014 07:47:44 PM,05/21/2014 09:11:50 AM,05/21/2014 09:11:49 AM,"7013 RIVER PLACE BLVD, AUSTIN, TX",7013.0,RIVER PLACE,AUSTIN,78726.0,TRAVIS,3081033.0131197004,10117585.0332113,30.39888928,-97.84488184,"(30.39888928, -97.84488184)",6.0,492C,MD33
106739,14-00095603,Coyote Complaints,Phone,Closed,05/21/2014 09:11:22 AM,05/19/2014 01:00:29 PM,05/21/2014 09:11:23 AM,05/21/2014 09:11:22 AM,"3209 RAIN DANCE CV, AUSTIN, TX",3209.0,RAIN DANCE,AUSTIN,78746.0,TRAVIS,3099819.88196202,10088885.5416835,30.31882845,-97.78738951,"(30.31882845, -97.78738951)",,554J,MG26
106740,14-00096175,Coyote Complaints,Phone,Closed,05/21/2014 09:10:48 AM,05/19/2014 11:10:18 PM,05/21/2014 09:10:48 AM,05/21/2014 09:10:48 AM,"1505 WINDSOR RD, AUSTIN, TX",1505.0,WINDSOR,AUSTIN,78703.0,TRAVIS,3110797.96981793,10075234.4543055,30.28060807,-97.75360893,"(30.28060807, -97.75360893)",9.0,584M,MH23
107321,14-00095185,Coyote Complaints,Phone,Closed,05/19/2014 12:41:20 PM,05/19/2014 06:40:15 AM,05/19/2014 12:41:21 PM,05/19/2014 12:41:20 PM,"1408 WATHEN AVE, AUSTIN, TX",1408.0,WATHEN,AUSTIN,78703.0,TRAVIS,3110461.41089623,10080079.136045402,30.29394685,-97.75431908,"(30.29394685, -97.75431908)",9.0,584D,MH24
107322,14-00093761,Coyote Complaints,Phone,Closed,05/19/2014 12:40:45 PM,05/17/2014 07:42:34 AM,05/19/2014 12:40:46 PM,05/19/2014 12:40:45 PM,"8020 LONG CANYON DR, AUSTIN, TX",8020.0,LONG CANYON,AUSTIN,78730.0,TRAVIS,3092253.65361177,10108546.0196051,30.373346899999998,-97.80994989,"(30.3733469, -97.80994989)",10.0,493U,MF31
107323,14-00093674,Coyote Complaints,Phone,Closed,05/19/2014 12:39:30 PM,05/16/2014 10:23:36 PM,05/19/2014 12:39:30 PM,05/19/2014 12:39:30 PM,"N MOPAC EXPY SVRD SB & NORTHLAND DR, AUSTIN, TX",,N MOPAC EXPY SVRD SB & NORTHLAND DR,AUSTIN,78731.0,TRAVIS,3109582.33,10095642.34,30.33678393,-97.75596129,"(30.33678393, -97.75596129)",10.0,524Z,MH28
107324,14-00093641,Coyote Complaints,Phone,Closed,05/19/2014 12:38:55 PM,05/16/2014 09:34:18 PM,05/19/2014 12:38:55 PM,05/19/2014 12:38:55 PM,"9020 TUSCANY WAY, AUSTIN, TX",9020.0,TUSCANY,AUSTIN,78754.0,TRAVIS,3139399.25656154,10096704.9601286,30.33777071,-97.66139039,"(30.33777071, -97.66139039)",1.0,527W,MN28
107325,14-00093351,Coyote Complaints,Phone,Closed,05/19/2014 12:38:24 PM,05/16/2014 03:03:37 PM,05/19/2014 12:38:25 PM,05/19/2014 12:38:24 PM,"3100 RIVA RIDGE RD, AUSTIN, TX",3100.0,RIVA RIDGE,AUSTIN,78746.0,TRAVIS,3093273.06047339,10091892.9528083,30.32750577,-97.80791683,"(30.32750577, -97.80791683)",10.0,553C,MF27
107794,14-00051905,Coyote Complaints,Phone,Closed,05/17/2014 07:25:37 AM,03/24/2014 09:59:21 PM,05/17/2014 07:25:37 AM,05/17/2014 07:25:37 AM,"4610 RIDGE OAK DR, AUSTIN, TX",4610.0,RIDGE OAK,AUSTIN,78731.0,TRAVIS,3106019.7076097,10093715.1048592,30.33171266,-97.76739241,"(30.33171266, -97.76739241)",10.0,554C,MH27
107872,14-00040528,Coyote Complaints,Phone,Closed,05/16/2014 09:51:03 AM,03/09/2014 03:13:54 PM,05/16/2014 09:51:04 AM,05/16/2014 09:51:03 AM,"SOUTHWEST PKWY &W SH 71, AUSTIN, TX",,SOUTHWEST PKWY &W SH 71,AUSTIN,78735.0,TRAVIS,3060165.75,10072203.0,30.27540268,-97.91418655,"(30.27540268, -97.91418655)",8.0,581N,MA23
107889,14-00044604,Coyote Complaints,Phone,Closed,05/16/2014 03:44:52 PM,03/14/2014 10:02:37 PM,05/16/2014 03:44:53 PM,05/16/2014 03:44:52 PM,"1746 CHANNEL RD, AUSTIN, TX",1746.0,CHANNEL,AUSTIN,78746.0,TRAVIS,3098619.78193419,10097847.7513035,30.34353997,-97.79054281,"(30.34353997, -97.79054281)",10.0,524S,MG28
107890,14-00043173,Coyote Complaints,Phone,Closed,05/16/2014 03:36:07 PM,03/13/2014 03:44:31 AM,05/16/2014 03:36:07 PM,05/16/2014 03:36:07 PM,"11613 N FM 620 RD, AUSTIN, TX",11613.0,620,AUSTIN,78750.0,WILLIAMSON,3086667.57845652,10138354.259270301,30.45563425,-97.82552872,"(30.45563425, -97.82552872)",6.0,433J,ME38
107891,14-00043498,Coyote Complaints,Phone,Closed,05/16/2014 03:33:42 PM,03/13/2014 02:00:25 PM,05/16/2014 03:33:43 PM,05/16/2014 03:33:42 PM,"1920 MATAGORDA ST, AUSTIN, TX",1920.0,MATAGORDA,AUSTIN,78741.0,TRAVIS,3116383.75,10059446.0,30.23685078,-97.73708486,"(30.23685078, -97.73708486)",9.0,615T,MJ19
107892,14-00051505,Coyote Complaints,Phone,Closed,05/16/2014 03:33:14 PM,03/24/2014 01:42:28 PM,05/16/2014 03:33:15 PM,05/16/2014 03:33:14 PM,"4404 SACRED ARROW DR, AUSTIN, TX",4404.0,SACRED ARROW,AUSTIN,78735.0,TRAVIS,3089378.11033894,10063304.593081402,30.24916194,-97.82230442,"(30.24916194, -97.82230442)",8.0,613K,ME20
107893,14-00044767,Coyote Complaints,Phone,Closed,05/16/2014 03:32:37 PM,03/15/2014 10:02:14 AM,05/16/2014 03:32:37 PM,05/16/2014 03:32:37 PM,"3201 GREENLEE DR, AUSTIN, TX",3201.0,GREENLEE,AUSTIN,78703.0,TRAVIS,3105209.50745571,10083183.0330962,30.30281273,-97.77072885,"(30.30281273, -97.77072885)",10.0,554Y,MH25
107896,14-00042243,Coyote Complaints,Phone,Closed,05/16/2014 03:32:03 PM,03/11/2014 07:13:31 PM,05/16/2014 03:32:03 PM,05/16/2014 03:32:03 PM,"HIGHLAND VIEW DR & HIGHLAND HILLS DR, AUSTIN, TX",,HIGHLAND VIEW DR & HIGHLAND HILLS DR,AUSTIN,78731.0,TRAVIS,3108924.25,10098944.0,30.34590166,-97.7578045,"(30.34590166, -97.7578045)",10.0,524R,MH29
107898,14-00093107,Coyote Complaints,Phone,Closed,05/16/2014 03:31:24 PM,05/16/2014 10:02:59 AM,05/16/2014 03:31:24 PM,05/16/2014 03:31:24 PM,"11350 FOUR POINTS DR, AUSTIN, TX",11350.0,FOUR POINTS,AUSTIN,78726.0,TRAVIS,3079973.03904275,10119697.4365468,30.40476126,-97.84809352,"(30.40476126, -97.84809352)",6.0,462Y,MD34
107943,14-00040990,Coyote Complaints,Phone,Closed,05/16/2014 01:41:43 PM,03/10/2014 10:35:03 AM,05/16/2014 01:41:44 PM,05/16/2014 01:41:43 PM,"1301 MATTHEWS LN, AUSTIN, TX",1301.0,MATTHEWS,AUSTIN,78745.0,TRAVIS,3096734.71305744,10044343.948452199,30.19658297,-97.80037898,"(30.19658297, -97.80037898)",5.0,643Z,MF16
108020,14-00040009,Coyote Complaints,Phone,Closed,05/16/2014 09:46:49 AM,03/08/2014 01:17:44 PM,05/16/2014 09:46:50 AM,05/16/2014 09:46:49 AM,"STONERIDGE RD & CETONA CT, AUSTIN, TX",,STONERIDGE RD & CETONA CT,AUSTIN,78746.0,TRAVIS,3093695.45,10069015.92,30.26459303,-97.80822419,"(30.26459303, -97.80822419)",8.0,583Y,MF22
108026,14-00039292,Coyote Complaints,Phone,Closed,05/16/2014 09:34:33 AM,03/07/2014 07:59:58 AM,05/16/2014 09:34:34 AM,05/16/2014 09:34:33 AM,"9105 PRINCE WILLIAM, AUSTIN, TX",9105.0,PRINCE WILLIAM,AUSTIN,78730.0,TRAVIS,3083968.70687353,10104503.8058152,30.36274922,-97.83650352,"(30.36274922, -97.83650352)",10.0,522D,MD30
108027,14-00038559,Coyote Complaints,Phone,Closed,05/16/2014 09:34:07 AM,03/05/2014 10:05:51 PM,05/16/2014 09:34:07 AM,05/16/2014 09:34:07 AM,"810 E SLAUGHTER LN 9 1ST 9108, AUSTIN, TX",810.0,SLAUGHTER,AUSTIN,78744.0,TRAVIS,3104654.7116891,10031102.684403801,30.15968654,-97.77627962,"(30.15968654, -97.77627962)",2.0,674X,MG13
108028,14-00078413,Coyote Complaints,Phone,Closed,05/16/2014 09:33:31 AM,04/27/2014 10:14:42 AM,05/16/2014 09:33:32 AM,05/16/2014 09:33:31 AM,"4206 TURKEY CREEK DR, AUSTIN, TX",4206.0,TURKEY CREEK,AUSTIN,78730.0,TRAVIS,3083323.25514162,10102916.829615401,30.35842658,-97.83866243,"(30.35842658, -97.83866243)",10.0,522H,MD30
108029,14-00077980,Coyote Complaints,Phone,Closed,05/16/2014 09:32:05 AM,04/26/2014 06:32:45 PM,05/16/2014 09:32:06 AM,05/16/2014 09:32:05 AM,"PRINCE WILLIAM & WESTMINSTER GLEN AVE, AUSTIN, TX",,PRINCE WILLIAM & WESTMINSTER GLEN AVE,AUSTIN,78730.0,TRAVIS,3082403.5,10105415.0,30.36535051,-97.84140048,"(30.36535051, -97.84140048)",10.0,522D,MD30
108030,14-00078498,Coyote Complaints,Phone,Closed,05/16/2014 09:31:12 AM,04/27/2014 12:46:38 PM,05/16/2014 09:31:13 AM,05/16/2014 09:31:12 AM,"2606 WHELESS LN, AUSTIN, TX",2606.0,WHELESS,AUSTIN,78723.0,TRAVIS,3133412.42876904,10086227.907314,30.30936515,-97.68115470000001,"(30.30936515, -97.6811547)",1.0,556Q,MM26
108031,14-00051506,Coyote Complaints,Phone,Closed,05/16/2014 09:30:49 AM,03/24/2014 01:44:21 PM,05/16/2014 09:30:50 AM,05/16/2014 09:30:49 AM,"4404 SACRED ARROW DR, AUSTIN, TX",4404.0,SACRED ARROW,AUSTIN,78735.0,TRAVIS,3089378.11033894,10063304.593081402,30.24916194,-97.82230442,"(30.24916194, -97.82230442)",8.0,613K,ME20
108032,14-00078133,Coyote Complaints,Phone,Closed,05/16/2014 09:30:23 AM,04/26/2014 09:50:01 PM,05/16/2014 09:30:24 AM,05/16/2014 09:30:23 AM,"6805 WOOD HOLLOW DR, AUSTIN, TX",6805.0,WOOD HOLLOW,AUSTIN,78731.0,TRAVIS,3109866.128938,10100740.316100301,30.35077949,-97.75468734,"(30.35077949, -97.75468734)",10.0,524M,MH29
108034,14-00078463,Coyote Complaints,Phone,Closed,05/16/2014 09:29:53 AM,04/27/2014 11:41:20 AM,05/16/2014 09:29:53 AM,05/16/2014 09:29:53 AM,"SILVERMINE DR & SCENIC BROOK DR, AUSTIN, TX",,SILVERMINE DR & SCENIC BROOK DR,AUSTIN,78736.0,TRAVIS,3067629.5,10058921.0,30.23844301,-97.89147134,"(30.23844301, -97.89147134)",8.0,611U,MB19
108035,14-00078827,Coyote Complaints,Phone,Closed,05/16/2014 09:28:57 AM,04/27/2014 09:06:52 PM,05/16/2014 09:28:58 AM,05/16/2014 09:28:57 AM,"1701 REAL WIND CV, AUSTIN, TX",1701.0,REAL WIND,AUSTIN,78746.0,TRAVIS,3091141.67861922,10088175.6084985,30.31742003,-97.81493748,"(30.31742003, -97.81493748)",10.0,553K,ME26
108036,14-00078863,Coyote Complaints,Phone,Closed,05/16/2014 09:28:01 AM,04/27/2014 10:24:49 PM,05/16/2014 09:28:01 AM,05/16/2014 09:28:01 AM,"8609 MENDOCINO DR, AUSTIN, TX",8609.0,MENDOCINO,AUSTIN,78735.0,TRAVIS,3074027.64,10076105.08,30.28529285,-97.87001047,"(30.28529285, -97.87001047)",,582J,MC23
108037,14-00093050,Coyote Complaints,Phone,Closed,05/16/2014 09:22:52 AM,05/16/2014 09:17:17 AM,05/16/2014 09:22:53 AM,05/16/2014 09:22:52 AM,"1708 W 10TH ST, AUSTIN, TX",1708.0,10TH,AUSTIN,78703.0,TRAVIS,3108056.0709458,10075057.5752069,30.28029638,-97.7623061,"(30.28029638, -97.7623061)",9.0,584L,MH23
108038,14-00092940,Coyote Complaints,Phone,Closed,05/16/2014 09:22:17 AM,05/16/2014 12:03:23 AM,05/16/2014 09:22:18 AM,05/16/2014 09:22:17 AM,"W 14TH ST & COLORADO ST, AUSTIN, TX",,W 14TH ST & COLORADO ST,AUSTIN,78701.0,TRAVIS,3114750.5,10073775.0,30.27634364,-97.74119814,"(30.27634364, -97.74119814)",1.0,585N,MJ23
108039,14-00091639,Coyote Complaints,Phone,Closed,05/16/2014 09:21:49 AM,05/14/2014 10:12:09 AM,05/16/2014 09:21:49 AM,05/16/2014 09:21:49 AM,"2519 BITTER CREEK DR, AUSTIN, TX",2519.0,BITTER CREEK,AUSTIN,78744.0,TRAVIS,3111415.7978416,10039399.0119716,30.18206266,-97.75428399,"(30.18206266, -97.75428399)",2.0,674H,MH15
